model,species_key,common_name,scientific_name,rows,trials,detections,positive_locality_seasons,observed_detection_rate,mean_predicted_detection_rate,calibration_error,weighted_bce,positive_triplet_auroc,positive_triplet_auprc
train_prevalence,avibase-6090278A,Eastern Towhee,Pipilo erythrophthalmus,36,596,181,27,0.3036912751677852,0.36693334579467773,0.06324207062689252,0.6228114192653331,0.5,0.6678078822930695
train_prevalence,avibase-60E6081E,Hooded Merganser,Lophodytes cucullatus,36,596,17,3,0.028523489932885907,0.01653333380818367,0.011990156124702236,0.13321010506824174,0.5,1.0
train_prevalence,avibase-60F32AF8,American Herring Gull,Larus smithsonianus,36,596,0,0,0.0,0.0015999999595806003,0.0015999999595806003,0.0016012813264896588,,
train_prevalence,avibase-6283E61E,Pine Warbler,Setophaga pinus,36,596,141,16,0.23657718120805368,0.30559998750686646,0.06902280629881277,0.5588828262597086,0.5,0.5087945556550433
train_prevalence,avibase-62CA2AF8,Eastern Phoebe,Sayornis phoebe,36,596,264,28,0.4429530201342282,0.29919999837875366,0.14375302175547455,0.7325346154542947,0.5,0.7551244380460543
train_prevalence,avibase-69544B59,American Crow,Corvus brachyrhynchos,36,596,411,32,0.6895973154362416,0.6272000074386597,0.06239730799758192,0.6279685436178711,0.5,0.921049634893258
train_prevalence,avibase-6CDC3C9C,Laughing Gull,Leucophaeus atricilla,36,596,2,1,0.003355704697986577,0.009066666476428509,0.005710961778441931,0.024859839632344904,0.5,0.034482758620689655
train_prevalence,avibase-719935EF,Royal Tern,Thalasseus maximus,36,596,1,1,0.0016778523489932886,0.004800000227987766,0.0031221478789944775,0.013761771582592217,0.5,0.034482758620689655
train_prevalence,avibase-7EFF698D,Northern Mockingbird,Mimus polyglottos,36,596,92,22,0.15436241610738255,0.23466666042804718,0.08030424432066463,0.449922627753329,0.5,0.6039982144719109
train_prevalence,avibase-847717E2,Red-eyed Vireo,Vireo olivaceus,36,596,108,14,0.18120805369127516,0.17440000176429749,0.006808051926977671,0.4733797153648085,0.5,0.31201984052692533
train_prevalence,avibase-85625D75,Mallard,Anas platyrhynchos,36,596,63,16,0.10570469798657718,0.08746666461229324,0.018238033374283938,0.3394046772338964,0.5,0.5394808222166234
train_prevalence,avibase-86D45B8F,Green Heron,Butorides virescens,36,596,5,3,0.008389261744966443,0.01119999960064888,0.002810737855682437,0.04885193637536141,0.5,0.0977450980392157
train_prevalence,avibase-891798D9,Summer Tanager,Piranga rubra,36,596,50,6,0.08389261744966443,0.12053333222866058,0.03664071477899615,0.29516690768517145,0.5,0.23658679283679285
train_prevalence,avibase-89431E9F,House Finch,Haemorhous mexicanus,36,596,109,26,0.18288590604026847,0.2277333289384842,0.04484742289821572,0.4817573224072095,0.5,0.7602215923129416
train_prevalence,avibase-8BBB3255,Common Grackle,Quiscalus quiscula,36,596,53,13,0.08892617449664429,0.09759999811649323,0.008673823619848933,0.30048525128810344,0.5,0.29386178168491767
train_prevalence,avibase-8CD66855,Eastern Meadowlark,Sturnella magna,36,596,44,8,0.0738255033557047,0.06880000233650208,0.005025501019202627,0.26361659546206406,0.5,0.1932166100207815
train_prevalence,avibase-8D6D5F2B,Great Crested Flycatcher,Myiarchus crinitus,36,596,22,9,0.03691275167785235,0.058133333921432495,0.021220582243580144,0.16269816648961336,0.5,0.2925925139977427
train_prevalence,avibase-8E1D9327,Wood Thrush,Hylocichla mustelina,36,596,57,12,0.09563758389261745,0.08533333241939545,0.010304251473222004,0.3160474061547823,0.5,0.2845906057362414
train_prevalence,avibase-93694BB5,Great Blue Heron,Ardea herodias,36,596,59,20,0.09899328859060402,0.07039999961853027,0.02859328897207375,0.32845912501942354,0.5,0.6545056866518195
